children,agent,country
0.0,0.0,PRT
0.0,0.0,PRT
0.0,0.0,GBR
0.0,304.0,GBR
0.0,240.0,GBR
0.0,240.0,GBR
0.0,0.0,PRT
0.0,303.0,PRT
0.0,240.0,PRT
0.0,15.0,PRT
0.0,240.0,PRT
0.0,240.0,PRT
0.0,240.0,USA
1.0,241.0,ESP
0.0,241.0,PRT
0.0,240.0,IRL
0.0,8.0,PRT
0.0,240.0,IRL
0.0,0.0,FRA
0.0,250.0,GBR
0.0,241.0,GBR
0.0,250.0,PRT
0.0,250.0,PRT
0.0,250.0,PRT
0.0,115.0,GBR
0.0,5.0,PRT
0.0,8.0,IRL
0.0,240.0,PRT
0.0,240.0,PRT
0.0,240.0,PRT
0.0,0.0,PRT
0.0,241.0,GBR
0.0,0.0,PRT
0.0,175.0,IRL
0.0,241.0,PRT
0.0,241.0,PRT
0.0,240.0,ESP
0.0,241.0,PRT
0.0,241.0,PRT
0.0,250.0,ROU
0.0,241.0,PRT
0.0,8.0,IRL
0.0,0.0,ESP
0.0,250.0,ROU
0.0,240.0,PRT
2.0,240.0,PRT
0.0,134.0,ESP
0.0,156.0,NOR
0.0,243.0,GBR
0.0,241.0,IRL
0.0,156.0,NOR
0.0,156.0,IRL
0.0,243.0,OMN
0.0,240.0,ESP
0.0,240.0,ARG
2.0,0.0,ESP
0.0,0.0,PRT
0.0,240.0,PRT
0.0,0.0,PRT
0.0,242.0,USA
0.0,241.0,PRT
0.0,240.0,IRL
0.0,250.0,ESP
0.0,115.0,IRL
0.0,240.0,PRT
2.0,240.0,USA
0.0,240.0,ESP
0.0,242.0,POL
0.0,242.0,PRT
0.0,240.0,PRT
0.0,240.0,PRT
0.0,240.0,PRT
0.0,3.0,PRT
0.0,240.0,ESP
0.0,242.0,PRT
0.0,240.0,ESP
0.0,240.0,PRT
0.0,240.0,PRT
0.0,105.0,DEU
0.0,5.0,PRT
0.0,40.0,FRA
0.0,40.0,PRT
0.0,40.0,GBR
0.0,250.0,PRT
0.0,115.0,GBR
0.0,40.0,GBR
0.0,241.0,GBR
1.0,242.0,PRT
0.0,240.0,GBR
0.0,240.0,PRT
0.0,240.0,ESP
0.0,240.0,PRT
0.0,241.0,USA
0.0,240.0,BEL
0.0,240.0,PRT
0.0,240.0,PRT
0.0,242.0,PRT
0.0,105.0,ESP
1.0,240.0,PRT
0.0,250.0,DEU
0.0,250.0,ESP
0.0,8.0,FRA
2.0,241.0,FRA
0.0,240.0,PRT
0.0,240.0,PRT
2.0,240.0,PRT
0.0,250.0,PRT
0.0,240.0,PRT
0.0,134.0,PRT
0.0,240.0,PRT
0.0,240.0,CHE
0.0,240.0,PRT
0.0,147.0,GBR
0.0,241.0,PRT
0.0,240.0,PRT
0.0,240.0,PRT
0.0,40.0,GBR
0.0,40.0,PRT
1.0,250.0,PRT
2.0,240.0,PRT
0.0,8.0,PRT
0.0,240.0,PRT
0.0,250.0,PRT
0.0,240.0,PRT
0.0,240.0,PRT
0.0,0.0,PRT
0.0,240.0,ESP
0.0,240.0,FRA
0.0,240.0,PRT
0.0,240.0,FRA
0.0,240.0,FRA
0.0,240.0,ESP
0.0,240.0,PRT
0.0,306.0,ESP
0.0,184.0,DEU
0.0,240.0,PRT
0.0,240.0,PRT
0.0,184.0,DEU
0.0,240.0,PRT
0.0,0.0,PRT
0.0,240.0,PRT
0.0,240.0,FRA
0.0,240.0,ESP
1.0,241.0,CN
0.0,240.0,ESP
0.0,240.0,PRT
0.0,240.0,ESP
0.0,240.0,PRT
